S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,478.94,6.229,1.814,15-03-2018,29,18,30,676,1200
*2,PONG DAM(BEAS),423.67,397.43,6.157,1.122,15-03-2018,18,19,27,-,360
*3,THEIN DAM,527.91,495.71,2.344,0.45,15-03-2018,19,37,31,348,600
*4,MAHI BAJAJ SAGAR,280.75,271.95,1.711,0.764,15-03-2018,45,51,34,63,140
5,JHAKAM,359.5,347.35,0.132,0.041,15-03-2018,31,30,17,28,-
*6,RANA PRATAP SAGAR,352.81,346.71,1.436,0.398,15-03-2018,28,22,30,229,172
7,TENUGHAT,269.14,258.84,0.821,0.372,15-03-2018,45,49,40,-,-
8,MAITHON,146.3,147.49,0.471,0.471,15-03-2018,100,100,66,342,-
*12,HIRAKUD,192.02,188.81,5.378,2.927,13-03-2018,54,57,55,153,307
*13,BALIMELA,462.08,444.46,2.676,0.418,15-03-2018,16,57,40,-,360
14,SALANADI,82.3,70.54,0.558,0.228,15-03-2018,41,30,30,42,-
*15,RENGALI,123.5,121.21,3.432,2.683,15-03-2018,78,81,49,3,200
*16,MACHKUND(JALAPUT),838.16,835.52,0.893,0.675,15-03-2018,76,44,57,-,115
*17,UPPER KOLAB,858.0,851.45,0.935,0.385,15-03-2018,41,64,43,89,320
*18,UPPER INDRAVATI,642.0,633.47,1.456,0.62,15-03-2018,43,59,47,128,600
19,MAYURAKSHI,121.31,117.96,0.48,0.327,15-03-2018,68,34,31,227,-
20,KANGSABATI,134.14,129.42,0.914,0.536,15-03-2018,59,31,27,341,-
21,GUMTI,93.55,91.05,0.312,0.201,13-03-2018,64,42,19,-,15
*22,UKAI,105.16,94.31,6.615,1.912,15-03-2018,29,62,49,348,300
23,SABARMATI(DHAROI),189.59,181.55,0.735,0.152,15-03-2018,21,39,27,95,1
*24,KADANA,127.7,122.12,1.472,0.683,15-03-2018,46,56,55,200,120
25,SHETRUNJI,55.53,50.43,0.3,0.059,15-03-2018,20,32,36,36,-
26,BHADAR,107.89,103.49,0.188,0.051,15-03-2018,27,4,25,27,-
27,DAMANGANGA,79.86,75.35,0.502,0.289,15-03-2018,58,50,57,51,1
28,DANTIWADA,184.1,176.31,0.399,0.158,15-03-2018,40,1,8,45,-
29,PANAM,127.41,124.15,0.697,0.356,15-03-2018,51,46,48,36,2
*30,SARDAR SAROVAR,138.68,105.64,5.76,0.0,15-03-2018,0,19,16,2120,1450
31,KARJAN,115.25,108.07,0.523,0.325,15-03-2018,62,46,59,51,3
32,JAYAKWADI(PAITHAN),463.91,461.38,2.171,1.293,15-03-2018,60,47,25,227,-
*33,KOYANA,657.9,649.78,2.652,1.885,14-03-2018,71,44,60,-,1920
34,BHIMA(UJJANI),496.83,495.48,1.517,1.089,12-03-2018,72,38,39,125,12
35,ISAPUR,441.0,426.9,0.965,0.047,14-03-2018,5,30,38,104,-
36,MULA,552.3,546.9,0.609,0.355,15-03-2018,58,45,40,139,-
