S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,476.76,6.229,1.632,22-06-2017,26,30,29,676,1200
*2,PONG DAM(BEAS),423.67,392.26,6.157,0.587,20-06-2017,10,6,23,-,360
*3,THEIN DAM,527.91,513.87,2.344,1.36,22-06-2017,58,37,47,348,600
*4,MAHI BAJAJ SAGAR,280.75,269.5,1.711,0.554,21-06-2017,32,20,21,63,140
5,JHAKAM,359.5,346.3,0.132,0.036,21-06-2017,27,6,16,28,-
*6,RANA PRATAP SAGAR,352.81,346.67,1.436,0.393,21-06-2017,27,50,43,229,172
7,TENUGHAT,269.14,255.48,0.821,0.267,21-06-2017,33,33,35,-,-
8,MAITHON,146.3,137.38,0.471,0.081,21-06-2017,17,12,29,342,-
*12,HIRAKUD,192.02,182.59,5.378,0.625,21-06-2017,12,10,11,153,307
*13,BALIMELA,462.08,444.73,2.676,0.441,21-06-2017,16,36,17,-,360
14,SALANADI,82.3,67.17,0.558,0.16,22-06-2017,29,4,26,42,-
*15,RENGALI,123.5,111.04,3.432,0.206,21-06-2017,6,1,7,3,200
*16,MACHKUND(JALAPUT),838.16,824.91,0.893,0.147,21-06-2017,16,23,32,-,115
*17,UPPER KOLAB,858.0,848.51,0.935,0.201,22-06-2017,21,16,12,89,320
*18,UPPER INDRAVATI,642.0,629.09,1.456,0.274,22-06-2017,19,22,15,128,600
19,MAYURAKSHI,121.31,112.0,0.48,0.122,21-06-2017,25,26,21,227,-
20,KANGSABATI,134.14,124.28,0.914,0.239,21-06-2017,26,20,21,341,-
21,GUMTI,93.55,91.1,0.312,0.203,21-06-2017,65,47,25,-,15
*22,UKAI,105.16,93.96,6.615,1.847,20-06-2017,28,8,19,348,300
