S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,503.54,6.229,4.356,12-12-2019,70,84,72,676.0,1379.0
*2,PONG DAM(BEAS),423.67,418.16,6.157,4.508,12-12-2019,73,75,60,0.0,396.0
*3,KOL DAM,642.0,641.55,0.089,0.082,12-12-2019,92,97,98,0.0,800.0
*4,THEIN DAM,527.91,518.88,2.344,1.66,12-12-2019,71,72,52,348.0,600.0
*5,MAHI BAJAJ SAGAR,280.75,280.3,1.711,1.666,12-12-2019,97,84,78,63.0,140.0
6,JHAKAM,359.5,357.5,0.132,0.112,12-12-2019,85,80,69,28.0,0.0
*7,RANA PRATAP SAGAR,352.81,349.58,1.436,0.839,12-12-2019,58,38,44,229.0,172.0
8,BISALPUR,315.5,315.29,1.076,1.054,12-12-2019,98,22,52,81.8,0.0
9,TENUGHAT,269.14,260.22,0.821,0.426,12-12-2019,52,46,46,0.0,0.0
10,MAITHON,146.3,149.88,0.471,0.471,12-12-2019,100,53,81,342.0,0.0
*11,PANCHET HILL,124.97,128.87,0.184,0.184,12-12-2019,100,78,83,0.0,80.0
12,KONAR,425.81,425.36,0.176,0.169,12-12-2019,96,73,82,0.0,0.0
13,TILAIYA,368.81,368.36,0.142,0.126,12-12-2019,89,53,73,0.0,4.0
*14,HIRAKUD,192.02,191.89,5.378,4.738,10-12-2019,88,72,85,153.0,307.0
*15,BALIMELA,462.08,459.94,2.676,2.273,12-12-2019,85,87,62,0.0,360.0
16,SALANADI,82.3,75.24,0.558,0.343,12-12-2019,61,57,37,42.0,0.0
*17,RENGALI,123.5,123.31,3.432,3.384,12-12-2019,99,49,78,3.0,200.0
*18,MACHKUND(JALAPUT),838.16,837.32,0.893,0.811,12-12-2019,91,81,84,0.0,115.0
*19,UPPER KOLAB,858.0,856.9,0.935,0.831,12-12-2019,89,75,65,89.0,320.0
*20,UPPER INDRAVATI,642.0,640.38,1.456,1.276,12-12-2019,88,75,70,128.0,600.0
21,SAPUA,168.5,168.54,0.006,0.006,12-12-2019,100,100,67,0.0,0.0
22,MAYURAKSHI,121.31,118.77,0.48,0.369,12-12-2019,77,25,41,227.0,0.0
23,KANGSABATI,134.14,131.52,0.914,0.706,12-12-2019,77,37,45,341.0,0.0
24,GUMTI,93.55,89.45,0.312,0.139,11-12-2019,45,69,52,0.0,15.0
*25,DOYANG HEP,333.0,320.21,0.535,0.331,12-12-2019,62,46,56,0.0,75.0
*26,UKAI,105.16,104.7,6.615,6.463,12-12-2019,98,30,64,348.0,300.0
27,SABARMATI(DHAROI),189.59,188.87,0.735,0.67,12-12-2019,91,22,58,95.0,1.0
*28,KADANA,127.7,127.26,1.472,1.145,12-12-2019,78,64,65,200.0,120.0
29,SHETRUNJI,55.53,55.07,0.3,0.264,12-12-2019,88,21,54,36.0,0.0
30,BHADAR,107.89,107.65,0.188,0.177,12-12-2019,94,22,46,27.0,0.0
31,DAMANGANGA,79.86,78.9,0.502,0.433,12-12-2019,86,63,85,51.0,1.0
32,DANTIWADA,184.1,173.87,0.399,0.105,12-12-2019,26,9,31,45.0,0.0
33,PANAM,127.41,127.1,0.697,0.532,12-12-2019,76,72,64,36.0,2.0
*34,SARDAR SAROVAR,138.68,136.08,5.76,4.946,12-12-2019,86,35,24,2120.0,1450.0
35,KARJAN,115.25,115.1,0.523,0.51,12-12-2019,98,76,78,51.0,3.0
36,SUKHI(GUJ),147.82,147.42,0.167,0.157,11-12-2019,94,57,35,20.7,0.0
37,WATRAK,136.25,136.12,0.154,0.13,11-12-2019,84,27,45,22.98,0.0
38,HATHMATI,180.74,180.14,0.153,0.13,12-12-2019,85,40,39,5.166,0.0
39,MACHCHHU-I,135.33,135.22,0.071,0.066,11-12-2019,93,14,17,0.0,0.0
40,MACHCHHU-II,57.3,57.16,0.091,0.082,12-12-2019,90,20,30,10.13,0.0
41,UND-I,98.0,98.0,0.066,0.066,11-12-2019,100,5,24,9.9,0.0
42,BRAHMANI(GUJ),64.62,64.23,0.071,0.051,12-12-2019,72,4,21,6.413,0.0
43,JAYAKWADI(PAITHAN),463.91,463.9,2.171,2.167,12-12-2019,100,25,40,227.0,0.0
*44,KOYANA,657.9,657.28,2.652,2.577,12-12-2019,97,84,85,0.0,1920.0
45,BHIMA(UJJANI),496.83,497.2,1.517,1.517,12-12-2019,100,49,71,125.0,12.0
46,ISAPUR,441.0,438.77,0.965,0.762,12-12-2019,79,51,53,104.0,0.0
47,MULA,552.3,552.29,0.609,0.609,12-12-2019,100,41,70,139.0,0.0
48,YELDARI,461.77,461.77,0.809,0.809,12-12-2019,100,8,38,78.0,0.0
49,GIRNA,398.07,398.07,0.524,0.524,12-12-2019,100,37,39,79.0,0.0
50,KHADAKVASLA,582.47,582.08,0.056,0.051,12-12-2019,91,46,63,78.0,8.0
*51,UPPER VAITARNA,603.5,602.97,0.331,0.314,12-12-2019,95,87,86,0.0,61.0
52,UPPER TAPI,214.0,214.0,0.255,0.255,12-12-2019,100,81,92,45.0,0.0
*53,PENCH(TOTLADOH),490.0,489.49,1.091,0.977,12-12-2019,90,11,53,127.0,160.0
54,UPPER WARDHA,342.5,341.81,0.564,0.503,12-12-2019,89,30,75,70.0,0.0
55,BHATSA,142.07,137.64,0.942,0.824,12-12-2019,87,75,80,29.38,15.0
56,DHOM,747.7,746.82,0.331,0.311,12-12-2019,94,65,75,36.2,2.0
57,DUDHGANGA,646.0,645.19,0.664,0.652,11-12-2019,98,82,87,2.441,24.0
58,MANIKDOH,711.25,709.23,0.288,0.252,12-12-2019,88,19,45,2.2,6.0
59,BHANDARDARA,744.91,744.68,0.304,0.303,12-12-2019,100,41,80,63.74,46.0
60,URMODI,696.0,696.0,0.273,0.273,12-12-2019,100,66,86,37.0,3.0
61,BHATGHAR,623.28,622.94,0.673,0.656,12-12-2019,97,76,87,60.66,14.09
62,NIRA DEOGHAR,667.1,667.1,0.332,0.332,12-12-2019,100,73,81,0.0,6.0
*63,THOKARWADI,667.14,666.45,0.353,0.332,12-12-2019,94,88,68,0.0,72.0
64,KANHER,690.78,690.46,0.272,0.266,12-12-2019,98,82,83,44.78,4.0
*65,ALWANDI,603.51,602.97,0.331,0.314,12-12-2019,95,87,86,3.93,60.0
*66,MULSHI,607.1,602.78,0.572,0.394,12-12-2019,69,80,69,0.0,300.0
67,MATATILA,308.46,305.9,0.707,0.378,11-12-2019,53,41,59,0.0,30.0
*68,RIHAND,268.22,262.98,5.649,3.415,12-12-2019,60,51,47,0.0,300.0
69,SHARDA SAGAR,190.5,189.66,0.33,0.33,12-12-2019,100,79,69,126.5,0.0
70,JIRGO,98.2,96.71,0.147,0.113,12-12-2019,77,44,42,13.14,0.0
*71,RAMGANGA,365.3,356.45,2.196,1.548,12-12-2019,70,67,70,1897.0,198.0
*72,TEHRI,830.0,817.69,2.615,2.111,12-12-2019,81,83,78,2351.0,1000.0
*73,GANDHI SAGAR,399.9,399.6,6.827,6.427,12-12-2019,94,35,54,220.0,115.0
74,TAWA,355.4,354.06,1.944,1.786,12-12-2019,92,54,74,247.0,0.0
