NAME OF RESERVOIR,Latitude,Longitude,MEAN,STD
ALIYAR,10.4625785,76.9905585,307.7633333333333,5.649870204998809
ALMATTI,16.3450459,75.9012249,508.22,
ATAL SAGAR(MADIKHEDA),25.5579443,77.8534397,336.75,0.2828427124746029
BALIMELA,18.2296614,82.0630683,446.7528571428571,4.244556177370858
BANSAGAR,24.18925565,81.2871821733634,335.26714285714286,1.4247656448894193
BARGI,22.59238445,79.189308180866,413.4942857142857,2.91524073987527
BARNA DAM,23.0524678,78.0640063,344.34714285714284,1.7287733058030328
BARVI DAM,19.1881163,73.3362814,64.455,2.552655480083444
BHADAR,23.5779856,77.9285465333822,102.70714285714288,3.534773516015395
BHADRA,29.1012943,75.1675355,646.7414285714285,5.500422494595086
BHAMA ASKHED,18.8382955,73.725155,659.37,
BHANDARDARA,19.5551306,73.7558419,620.16,192.1129340604982
BHATGHAR,22.3578313,91.7843113,606.265,2.5229942528670097
BHATSA,19.3256654,73.1931999,119.70428571428572,6.812297353910446
BHIMA(UJJANI),18.0713009,75.1195389,489.59857142857146,1.6488220903767346
BISALPUR,28.3176982,79.842240707502,311.2275,2.224370697523249
BRAHMANI(GUJ),21.2778977,85.0278819,60.7025,0.7102757680413037
CHANDAN DAM,18.2454718,75.5261242,79.185,89.56921597289998
CHASKAMAN,18.9607567,73.7854046,640.585,6.809438302826409
DAMANGANGA,20.3161771,72.8311695,71.04285714285714,1.1530497862294615
DANTIWADA,24.3239388,72.3255763,168.15285714285713,6.335854886505619
DARNA DAM,19.7394692,73.6697073,567.78,
DHOM,,,735.2914285714286,1.7663939591856697
DIMBHE DAM,19.096012,73.7440799,696.97,7.113494218736629
DONKARAYI,17.9273073,81.80064565,303.78,8.683271272970845
DOYANG HEP,26.2323405,94.2608939305724,313.1875,4.923646176023073
DUDHAWA,20.30560355,81.784390153548,420.0825,3.093103888760693
DUDHGANGA,33.8893255,74.6836692,630.1514285714286,4.962161587357628
GANDHI SAGAR,21.1457864,79.0987312544945,393.74000000000007,1.3212241798170985
GERUSOPPA,14.2433775,74.6532531,48.81,1.4232591705893436
GETALSUD,23.4454661,85.5456769,584.7266666666667,1.1830610015266985
GHATAPRABHA(HIDKAL),16.1363007,74.6547609,644.5357142857143,5.052292737437318
GIRNA,,,387.86285714285714,4.851692880791569
GOBIND SAGAR(BHAKRA),,,484.24142857142857,8.17009063305793
GUMTI,22.93108075,80.0367816265992,89.95,1.2537942414925975
HARANGI,12.4948912,75.8392181,867.8100000000001,2.729468812791227
HARIHARJHOR,,,142.4925,2.160298976222196
HATHMATI,23.5378487,72.899316,176.4325,2.1604224123999507
HEMAVATHY,13.1463734,76.4483751,881.2885714285715,6.387710671206677
HIRAKUD,21.54901785,83.8937312620797,183.71571428571428,1.1562706883606138
IDAMALAYAR,10.1925052,76.7211181,141.04285714285714,6.762143926018623
IDUKKI,9.8154785,76.9991599480914,712.8171428571429,5.409737252663699
INDIRA SAGAR,22.28453935,76.4718831695605,249.88857142857145,4.335521608647281
ISAPUR,20.5899347,77.2098188093994,432.4342857142857,4.243645669872609
JAISAMAND,24.2408582,73.9493619,291.725,1.4354267658087323
JAWAI DAM,25.09880775,73.1498723820145,302.795,9.920708140047262
JAYAKWADI(PAITHAN),19.47248495,75.3639212430826,458.13142857142856,2.2845672717273127
JHAKAM,24.0984575,74.7282574,345.2142857142857,4.250658212335511
JIRGO,25.0699961,82.9374163,92.38,3.7148620431989072
KABINI,12.0140065,76.4152088,692.9628571428572,2.247366713034855
KADANA,,,118.85,2.994589565644457
KAKKI,,,956.5328571428572,8.520097249612624
KALLADA(PARAPPAR),80.95,77.0722222222222,100.29,5.278112036198807
KANDALERU,14.34397655,79.5958785963203,74.83333333333333,3.292572449215564
KANGSABATI,22.792957,86.9767406,126.40857142857143,3.262000554728284
KANHER,22.6329916,78.8144437915916,677.7850000000001,2.9854145440792856
KARJAN,21.7118499,73.5043874,100.28571428571428,6.41849114445354
KHADAKVASLA,18.4372365,73.7651846,580.5657142857143,1.2973287573941736
KOL DAM,31.3826712,76.8815127,637.98,0.5504543577809143
KOLAR DAM,,,452.0425,1.1961431073802544
KONAR,23.8836171,85.7962407,417.5233333333333,2.71568284844408
KOYANA,,,639.03875,4.7924387990726816
KRISHNARAJA SAGARA,12.4726381,76.4773086532637,744.3057142857142,4.5856473812060505
LINGANAMAKKI,14.1731954,74.8292508,540.18125,3.822465313306148
LOWER BHAWANI,27.709805,85.6071765,271.4871428571428,5.879729909572711
LOWER MANAIR,18.3996537,79.1310126,273.2683333333333,3.890272055610854
MACHCHHU-I,,,130.1825,2.5535253409094323
MACHCHHU-II,,,54.0375,0.6535735102751152
MACHKUND(JALAPUT),18.459192,82.548478,826.6242857142857,4.3150120013075925
MAHANADI,20.860055,84.149394,342.7675,2.3536218290723245
MAHI BAJAJ SAGAR,23.6284854,74.5472827,269.70714285714286,1.3752056123323744
MAITHON,23.838125,86.8075539772727,140.78,2.4753248945003827
MALAMPUZHA,10.8190998,76.6652482,321.58,369.7810761337939
MALAPRABHA(RENUKA),31.258165,77.6557982,624.9228571428572,3.043757076847178
MANDIRA DAM,22.3073212,84.6193753164174,206.80666666666664,0.4536885862938723
MANI DAM,13.6759636,75.0477553,575.955,3.267838225290063
MANIKDOH,19.8500056,77.5023636,691.2471428571428,4.669742013879364
MATATILA,25.1002237,78.3719184832803,303.8285714285715,2.261853433001559
MAUDAHA,25.70656655,80.0434571115807,143.96666666666667,2.926317367158477
MAYURAKSHI,24.157345,87.283314,114.26714285714286,1.7343559254635323
MEJA,25.1648519,82.1401075344574,165.1,2.5548972582082543
METTUR(STANLEY),11.908625,77.8007315102992,225.75571428571428,8.746799142434627
MINIMATA BANGO,,,352.7842857142858,3.550665933515652
MULA,,,539.7157142857143,2.263440280803062
MULSHI,18.5134117,73.5668845512146,594.9225,2.7743032158243506
NAGARJUNA SAGAR,16.495012,79.2208086604122,157.80714285714288,3.7872888908633775
NANAK SAGAR,28.962642,79.840101245,208.74,0.367695526217022
NARAYANPUR,24.04358345,86.5806128001105,488.45625,2.1817485615245222
NIRA DEOGHAR,18.0938071,73.7113388394077,644.375,4.687127762997997
NIZAM SAGAR,18.1735195,77.9340163606773,423.3775,2.907970368945827
OMKARESHWAR,22.2429799,76.1495705,194.4725,0.4311515588127568
PANAM,,,120.95,1.5550991393905838
PANCHET HILL,23.6894152,86.7619917,122.87,1.244507934888322
PANSHET(TANAJISAGAR),,,617.55,
PARAMBIKULAM,10.3865889,76.7681666,543.0985714285714,5.059576492722905
PENCH(TOTLADOH),,,479.3425,7.457823792118293
PERIYAR,10.1643734,76.4425439,862.4742857142857,2.23705801700103
PONG DAM(BEAS),,,402.3885714285715,7.742451008501611
PRIYADARSHINI JURALA,16.3389148,77.7040906894285,212.695,119.732308783664
RAJGHAT DAM,24.76354165,78.2306857680294,366.0,0.4949747468306154
RAMGANGA,21.8098071,88.376534,337.9942857142857,13.125534728336293
RANA PRATAP SAGAR,24.8132257,75.600809123949,348.85857142857145,1.8050708995440967
RANGAWAN,26.184431,78.6049569,220.1133333333333,0.4215843134336701
RENGALI,21.65591265,84.0289177970114,111.89,1.3571907259728349
RIHAND,24.150983,82.8978537,256.38,1.3084851291983786
SABARMATI(DHAROI),,,182.6428571428572,2.09265950635162
SALANADI,,,69.86,6.606047734210423
SANJAY SAROVAR,22.34751275,79.6170499015841,513.8874999999999,2.066549055793219
SAPUA,20.5138363,85.598098,167.7575,0.8213150025010657
SARDAR SAROVAR,21.8378767,73.7559923648656,118.01857142857143,3.693320225178734
SATHANUR,12.2047442,78.8891979,217.775,1.6334166645409265
SHARDA SAGAR,23.8728109,78.9006882,186.355,1.849927926523976
SHETRUNJI,21.4016951,72.0033843,52.521428571428565,2.1993667919913413
SHOLAYAR,10.3108449,76.8075228,986.1066666666668,7.356180168176079
SINGUR,22.8130387,88.2283646,518.56,5.712471735889224
SIRSI,14.6192362,74.8388611,210.9033333333333,1.8281228988591944
SOMASILA,14.4986502,79.3138784,89.16714285714285,5.844495171486059
SRIRAMSAGAR,18.8812115,78.1441131,326.36333333333334,3.720476671969165
SRISAILAM,16.0909794,78.8656307623982,245.12714285714287,4.869951109561965
SUKHI(GUJ),,,141.88,1.2292002820262116
SUPA,,,533.3025,3.7052154361887495
SURYA,,,107.15,1.697056274847703
TANDULA,21.1879859,81.3977351,326.525,2.499939999279968
TATTIHALLA,15.2735408,74.7806536,454.945,5.427427260375458
TAWA,53.4631552,-113.427559,344.9514285714285,3.5388342175139256
TEHRI,30.40260205,78.3883578903798,767.8571428571429,6.9336395307844985
TENUGHAT,23.7469287,85.7543455,257.6642857142857,0.8869208371825393
THEIN DAM,32.4425,75.728611,511.7271428571429,9.243844283784613
THOKARWADI,,,656.5550000000001,2.0344450512773244
TILAIYA,23.7452169,85.8300721,364.98333333333335,1.057087192871666
TILLARI,15.8084943,74.1968244,104.315,8.329499784901058
TUNGABHADRA,15.3444252,76.4933824,489.1285714285714,4.594128240016191
UKAI,22.8939198,77.8148905291473,94.95714285714288,2.724614433185696
UND-I,,,95.575,2.447604270846626
UPPER INDRAVATI,,,630.5771428571428,1.3157091153406315
UPPER KOLAB,18.7889976,82.6012044563014,848.6899999999999,1.894113688949741
UPPER TAPI,,,209.82,0.9709445572911608
UPPER VAITARNA,19.8418518,73.4785663976234,511.68142857142857,225.37862390716137
UPPER WARDHA,20.9411536,77.773286825,339.02714285714285,1.0830776254992762
URMODI,17.5957614,74.0240805,686.1850000000001,2.886456882292432
VAIGAI,12.99616705,80.2469844265133,271.13142857142856,4.625175414948902
VANI VILAS SAGAR,12.2833622,76.6416921,641.3683333333333,7.581275398418591
VEER DAM,18.1321668,74.0973392,573.965,5.819488809165299
WATRAK,22.8808558,72.8443966219031,130.32999999999998,2.4861885152444407
YELDARI,19.7177676,76.7376029,453.7871428571429,5.590652061807316
YELERU,17.7392653,81.9868603,77.3775,1.644168989692559
