NAME OF RESERVOIR,Latitude,Longitude,MEAN,STD
ALIYAR,10.4625785,76.9905585,311.5325,2.5965538058485884
ALMATTI,16.3450459,75.9012249,515.4566666666666,1.5844662613427212
ATAL SAGAR(MADIKHEDA),25.5579443,77.8534397,336.55,5.586143571373709
BALIMELA,18.2296614,82.0630683,453.7033333333333,3.956396719238361
BANSAGAR,24.18925565,81.2871821733634,338.1655555555556,1.7842513213608064
BARGI,22.59238445,79.189308180866,419.3566666666667,1.2323351816774384
BARNA DAM,23.0524678,78.0640063,344.7322222222222,2.097729592784659
BARVI DAM,19.1881163,73.3362814,68.73,0.4355456348076481
BHADAR,23.5779856,77.9285465333822,104.53555555555556,2.294357813807117
BHADRA,29.1012943,75.1675355,651.2011111111111,4.415372137330126
BHAMA ASKHED,18.8382955,73.725155,667.38,
BHANDARDARA,19.5551306,73.7558419,696.6044444444444,134.4633273527685
BHATGHAR,22.3578313,91.7843113,619.604,2.805303905105454
BHATSA,19.3256654,73.1931999,129.6122222222222,2.3321491042479336
BHIMA(UJJANI),18.0713009,75.1195389,5890.413333333334,16186.345159161165
BISALPUR,28.3176982,79.842240707502,313.0,1.501382696050551
BRAHMANI(GUJ),21.2778977,85.0278819,61.668000000000006,1.7003881909728729
CHANDAN DAM,18.2454718,75.5261242,110.27,58.29106020651881
CHASKAMAN,18.9607567,73.7854046,645.19,0.5798275605729641
DAMANGANGA,20.3161771,72.8311695,76.61,1.2404748194855804
DANTIWADA,24.3239388,72.3255763,172.94,5.626328731953008
DARNA DAM,19.7394692,73.6697073,567.59,
DHOM,73.8181253712423,17.981520187933,741.6188888888888,3.617234594425848
DIMBHE DAM,19.096012,73.7440799,712.2199999999999,1.0708407911543043
DONKARAYI,17.9273073,81.80064565,314.065,0.8555992052357483
DOYANG HEP,26.2323405,94.2608939305724,314.79,4.155027075724053
DUDHAWA,20.30560355,81.784390153548,420.996,3.580402212042658
DUDHGANGA,33.8893255,74.6836692,638.5999999999999,3.421103623101797
GANDHI SAGAR,21.1457864,79.0987312544945,395.18625,3.840818132712265
GERUSOPPA,14.2433775,74.6532531,51.49222222222223,2.2254369109108536
GETALSUD,23.4454661,85.5456769,586.45,0.6086049621881092
GHATAPRABHA(HIDKAL),16.1363007,74.6547609,652.32,4.539267562063324
GIRNA,74.7157151595633,20.4787568156919,392.09125,4.728033228974349
GOBIND SAGAR(BHAKRA),76.4333723933508,31.4114628637911,491.5522222222223,5.70807055356224
GUMTI,22.93108075,80.0367816265992,91.14285714285714,0.6833914028752531
HARANGI,12.4948912,75.8392181,860.7955555555556,5.333549735193066
HARIHARJHOR,84.0151588306839,21.0375606778149,144.924,1.1125331455736436
HATHMATI,23.5378487,72.899316,178.05,1.559727540309522
HEMAVATHY,13.1463734,76.4483751,879.6455555555555,4.801635427411941
HIRAKUD,21.54901785,83.8937312620797,190.23555555555555,0.533177060438441
IDAMALAYAR,10.1925052,76.7211181,154.4322222222222,3.0429581732985485
IDUKKI,9.8154785,76.9991599480914,721.5333333333333,4.2580981670224505
INDIRA SAGAR,22.28453935,76.4718831695605,256.6377777777777,2.1049808655768074
ISAPUR,20.5899347,77.2098188093994,435.3,4.458433020692363
JAISAMAND,24.2408582,73.9493619,293.01,1.7677669529663689
