WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,664.804,3.4022536648521906,NIRA DEOGHAR,18.0938071,73.7113388394077
2,664.14,3.7956224785929504,NIRA DEOGHAR,18.0938071,73.7113388394077
3,663.472,4.070585952906532,NIRA DEOGHAR,18.0938071,73.7113388394077
4,662.902,3.9213224810004976,NIRA DEOGHAR,18.0938071,73.7113388394077
5,662.182,3.796198098097627,NIRA DEOGHAR,18.0938071,73.7113388394077
6,660.4799999999999,5.083379781208559,NIRA DEOGHAR,18.0938071,73.7113388394077
7,658.175,4.949494923727048,NIRA DEOGHAR,18.0938071,73.7113388394077
8,658.73,5.130497051943375,NIRA DEOGHAR,18.0938071,73.7113388394077
9,657.85,5.4232524066898256,NIRA DEOGHAR,18.0938071,73.7113388394077
10,656.95,4.873910134583966,NIRA DEOGHAR,18.0938071,73.7113388394077
11,657.67,1.6783920876839427,NIRA DEOGHAR,18.0938071,73.7113388394077
12,655.05,3.581549943809249,NIRA DEOGHAR,18.0938071,73.7113388394077
13,653.6625,3.9130923406771965,NIRA DEOGHAR,18.0938071,73.7113388394077
14,652.5125,4.073568255637044,NIRA DEOGHAR,18.0938071,73.7113388394077
15,651.4625,3.9109621578328113,NIRA DEOGHAR,18.0938071,73.7113388394077
16,650.175,3.749777771193027,NIRA DEOGHAR,18.0938071,73.7113388394077
17,648.14,4.267130183155873,NIRA DEOGHAR,18.0938071,73.7113388394077
18,646.15,5.791480812365694,NIRA DEOGHAR,18.0938071,73.7113388394077
19,644.8199999999999,5.730248685702917,NIRA DEOGHAR,18.0938071,73.7113388394077
20,643.51,5.073386442998418,NIRA DEOGHAR,18.0938071,73.7113388394077
21,641.85,4.277557714397325,NIRA DEOGHAR,18.0938071,73.7113388394077
22,642.4125,6.645722308372482,NIRA DEOGHAR,18.0938071,73.7113388394077
23,638.4,2.98098138202843,NIRA DEOGHAR,18.0938071,73.7113388394077
24,635.0375,5.180633005080866,NIRA DEOGHAR,18.0938071,73.7113388394077
25,633.975,4.525759604751428,NIRA DEOGHAR,18.0938071,73.7113388394077
26,636.375,5.891448605111171,NIRA DEOGHAR,18.0938071,73.7113388394077
27,639.375,3.072865112561898,NIRA DEOGHAR,18.0938071,73.7113388394077
28,644.375,4.687127762997997,NIRA DEOGHAR,18.0938071,73.7113388394077
29,649.8199999999999,6.873737459829775,NIRA DEOGHAR,18.0938071,73.7113388394077
30,657.35,9.357171937432167,NIRA DEOGHAR,18.0938071,73.7113388394077
31,658.9375,10.14867602202378,NIRA DEOGHAR,18.0938071,73.7113388394077
32,662.25,7.394367225575617,NIRA DEOGHAR,18.0938071,73.7113388394077
33,664.918,4.262876962803452,NIRA DEOGHAR,18.0938071,73.7113388394077
34,666.4399999999999,1.4758048651499005,NIRA DEOGHAR,18.0938071,73.7113388394077
35,667.04,0.13416407865000413,NIRA DEOGHAR,18.0938071,73.7113388394077
36,667.058,0.09391485505501697,NIRA DEOGHAR,18.0938071,73.7113388394077
37,667.108,0.017888543819985225,NIRA DEOGHAR,18.0938071,73.7113388394077
38,667.0600000000001,0.08944271910000398,NIRA DEOGHAR,18.0938071,73.7113388394077
39,667.052,0.1073312629200104,NIRA DEOGHAR,18.0938071,73.7113388394077
40,667.1,0.0,NIRA DEOGHAR,18.0938071,73.7113388394077
41,667.1,0.0,NIRA DEOGHAR,18.0938071,73.7113388394077
42,667.1,0.0,NIRA DEOGHAR,18.0938071,73.7113388394077
43,667.1,0.0,NIRA DEOGHAR,18.0938071,73.7113388394077
44,667.11,0.022360679774969087,NIRA DEOGHAR,18.0938071,73.7113388394077
45,667.098,0.031937438845349914,NIRA DEOGHAR,18.0938071,73.7113388394077
46,666.966,0.247547975148267,NIRA DEOGHAR,18.0938071,73.7113388394077
47,666.7025,0.6961980082323362,NIRA DEOGHAR,18.0938071,73.7113388394077
48,666.556,1.1057486151924076,NIRA DEOGHAR,18.0938071,73.7113388394077
49,666.28,1.6068395480984803,NIRA DEOGHAR,18.0938071,73.7113388394077
50,665.88,2.3075094799372713,NIRA DEOGHAR,18.0938071,73.7113388394077
51,665.77,2.528734861546381,NIRA DEOGHAR,18.0938071,73.7113388394077
52,665.364,2.934021131484922,NIRA DEOGHAR,18.0938071,73.7113388394077
53,667.0,,NIRA DEOGHAR,18.0938071,73.7113388394077
