NAME OF RESERVOIR,Latitude,Longitude,Historical Mean,Historical STD,Current
ALIYAR,10.4625785,76.9905585,307.7633333333333,5.649870204998809,310.04
ALMATTI,16.3450459,75.9012249,508.22,0.0,517.01
ATAL SAGAR(MADIKHEDA),25.5579443,77.8534397,336.75,0.2828427124746029,330.45
BALIMELA,18.2296614,82.0630683,446.7528571428571,4.244556177370858,442.57
BANSAGAR,24.18925565,81.2871821733634,335.26714285714286,1.4247656448894193,332.3
BARGI,22.59238445,79.189308180866,413.4942857142857,2.91524073987527,411.61
BARNA DAM,23.0524678,78.0640063,344.34714285714284,1.7287733058030328,342.98
BARVI DAM,19.1881163,73.3362814,64.455,2.552655480083444,60.74
BHADAR,23.5779856,77.9285465333822,102.70714285714288,3.534773516015395,101.41
BHADRA,29.1012943,75.1675355,646.7414285714285,5.500422494595086,642.52
BHAMA ASKHED,18.8382955,73.725155,659.37,0.0,654.56
BHANDARDARA,19.5551306,73.7558419,620.16,192.1129340604982,726.3
BHATGHAR,22.3578313,91.7843113,606.265,2.5229942528670097,606.0
BHATSA,19.3256654,73.1931999,119.70428571428572,6.812297353910446,115.5
BHIMA(UJJANI),18.0713009,75.1195389,489.59857142857146,1.6488220903767346,487.9
BISALPUR,28.3176982,79.842240707502,311.2275,2.224370697523249,310.12
BRAHMANI(GUJ),21.2778977,85.0278819,60.7025,0.7102757680413037,59.71
CHANDAN DAM,18.2454718,75.5261242,79.185,89.56921597289998,137.95
CHASKAMAN,18.9607567,73.7854046,640.585,6.809438302826409,633.64
DAMANGANGA,20.3161771,72.8311695,71.04285714285714,1.1530497862294615,70.75
DANTIWADA,24.3239388,72.3255763,168.15285714285713,6.335854886505619,172.24
DARNA DAM,19.7394692,73.6697073,567.78,0.0,565.4
DHOM,,,735.2914285714286,1.7663939591856697,733.9
DIMBHE DAM,19.096012,73.7440799,696.97,7.113494218736629,692.04
DONKARAYI,17.9273073,81.80064565,303.78,8.683271272970845,305.84
DOYANG HEP,26.2323405,94.2608939305724,313.1875,4.923646176023073,320.9
